model,actual_label,predicted_label,count
SVM_RBF,Paper,Paper,25
SVM_RBF,Paper,Scissors,0
SVM_RBF,Paper,Rock,0
SVM_RBF,Paper,Thumb,0
SVM_RBF,Scissors,Paper,0
SVM_RBF,Scissors,Scissors,27
SVM_RBF,Scissors,Rock,0
SVM_RBF,Scissors,Thumb,0
SVM_RBF,Rock,Paper,0
SVM_RBF,Rock,Scissors,0
SVM_RBF,Rock,Rock,27
SVM_RBF,Rock,Thumb,0
SVM_RBF,Thumb,Paper,0
SVM_RBF,Thumb,Scissors,0
SVM_RBF,Thumb,Rock,1
SVM_RBF,Thumb,Thumb,29
KNN_5,Paper,Paper,25
KNN_5,Paper,Scissors,0
KNN_5,Paper,Rock,0
KNN_5,Paper,Thumb,0
KNN_5,Scissors,Paper,2
KNN_5,Scissors,Scissors,24
KNN_5,Scissors,Rock,1
KNN_5,Scissors,Thumb,0
KNN_5,Rock,Paper,0
KNN_5,Rock,Scissors,0
KNN_5,Rock,Rock,27
KNN_5,Rock,Thumb,0
KNN_5,Thumb,Paper,0
KNN_5,Thumb,Scissors,0
KNN_5,Thumb,Rock,1
KNN_5,Thumb,Thumb,29
